,quote,author,tags
0,"There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature",Jane Austen,Tags: friendship love
1,Do one thing every day that scares you,Eleanor Roosevelt,Tags: attributed fear inspiration
2,"I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love",Marilyn Monroe,Tags: attributed-no-source
3,"If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music",Albert Einstein,Tags: music
4,"If you only read the books that everyone else is reading, you can only think what everyone else is thinking",Haruki Murakami,Tags: books thought
5,The difference between genius and stupidity is: genius has its limits,Alexandre Dumas fils,Tags: misattributed-to-einstein
6,"He's like a drug for you, Bella",Stephenie Meyer,Tags: drug romance simile
7,There is no friend as loyal as a book,Ernest Hemingway,Tags: books friends novelist-quotes
8,"When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us",Helen Keller,Tags: inspirational
9,Life isn't about finding yourself. Life is about creating yourself,George Bernard Shaw,Tags: inspirational life yourself
